Category,Code,Count,Percentage
Computer Science,cs,629,87.72663877266388
Electrical Eng & Systems,eess,32,4.463040446304045
Quantum Physics,quant-ph,10,1.394700139470014
Physics,physics,9,1.2552301255230125
Mathematics,math,7,0.9762900976290098
Statistics,stat,6,0.8368200836820083
Condensed Matter,cond-mat,6,0.8368200836820083
High Energy Physics - Phenomenology,hep-ph,5,0.697350069735007
Quantitative Biology,q-bio,5,0.697350069735007
Astrophysics,astro-ph,3,0.41841004184100417
High Energy Physics - Lattice,hep-lat,2,0.2789400278940028
Nonlinear Sciences,nlin,1,0.1394700139470014
High Energy Physics - Experiment,hep-ex,1,0.1394700139470014
Quantitative Finance,q-fin,1,0.1394700139470014
