Subcategory,Code,Count,Percentage
Computer Vision,cs.CV,185,29.411764705882355
Machine Learning,cs.LG,170,27.027027027027028
Computation & Language (NLP),cs.CL,112,17.8060413354531
Artificial Intelligence,cs.AI,30,4.769475357710652
Cryptography & Security,cs.CR,18,2.8616852146263914
Information Retrieval,cs.IR,16,2.5437201907790143
Robotics,cs.RO,15,2.384737678855326
Neural & Evolutionary,cs.NE,13,2.066772655007949
Software Engineering,cs.SE,13,2.066772655007949
Sound,cs.SD,9,1.4308426073131957
cs.AR,cs.AR,6,0.9538950715421303
Databases,cs.DB,5,0.7949125596184419
Distributed Computing,cs.DC,5,0.7949125596184419
Data Structures & Algorithms,cs.DS,5,0.7949125596184419
Networking,cs.NI,4,0.6359300476947536
Human-Computer Interaction,cs.HC,4,0.6359300476947536
cs.CE,cs.CE,3,0.47694753577106513
cs.GT,cs.GT,3,0.47694753577106513
Information Theory,cs.IT,2,0.3179650238473768
cs.OH,cs.OH,2,0.3179650238473768
cs.CY,cs.CY,2,0.3179650238473768
cs.MA,cs.MA,2,0.3179650238473768
cs.SI,cs.SI,1,0.1589825119236884
cs.ET,cs.ET,1,0.1589825119236884
cs.LO,cs.LO,1,0.1589825119236884
cs.OS,cs.OS,1,0.1589825119236884
Graphics,cs.GR,1,0.1589825119236884
